Reine,Imago,Nymphe,Larve,Œuf,,Reine,Imago,Nymphe,Larve,Œuf,,Reine,Imago,Nymphe,Larve,Œuf
1,18,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,1,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,1,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,1,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,17,0,0,0,,1,17,0,0,0
1,18,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,17,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,17,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,16,0,0,0,,1,16,0,0,0,,1,16,0,0,0
1,16,0,0,0,,1,16,0,0,0,,1,15,0,0,0
1,16,0,0,0,,1,16,0,0,0,,1,15,0,0,0
1,16,0,0,0,,1,16,0,0,0,,1,15,0,0,0
1,16,0,0,0,,1,16,0,0,0,,1,15,0,0,0
